  STN,YYYYMMDD,   TN
  240,20171112,   44
  240,20171113,   33
  240,20171114,   42
  240,20171115,   91
  240,20171116,   46
  240,20171117,   18
  240,20171118,   51
  240,20171119,   35
  240,20171120,   53
  240,20171121,  109
  240,20171122,   93
  240,20171123,   71
  240,20171124,   37
  240,20171125,    1
  240,20171126,   38
  240,20171127,   55
  240,20171128,   26
  240,20171129,    6
  240,20171130,  -22
  240,20171201,  -43
  240,20171202,  -41
  240,20171203,   15
  240,20171204,   48
  240,20171205,   71
  240,20171206,   69
  240,20171207,   47
  240,20171208,    9
  240,20171209,    8
  240,20171210,    0
  240,20171211,  -36
  240,20171212,    4
  240,20171213,    8
  240,20171214,    4
  240,20171215,  -20
  240,20171216,  -13
  240,20171217,  -24
  240,20171218,    2
  240,20171219,    6
  240,20171220,   50
  240,20171221,   74
  240,20171222,   51
  240,20171223,   80
  240,20171224,   77
  240,20171225,   46
  240,20171226,   45
  240,20171227,   36
  240,20171228,   19
  240,20171229,   -4
  240,20171230,   39
  240,20171231,   80
